region,Value
17Networks_RH_SomMotA_3,-5.12E+00
17Networks_RH_SomMotA_4,-5.33E+00
17Networks_RH_SomMotA_5,-5.03E+00
17Networks_RH_SomMotA_6,-5.25E+00
17Networks_RH_SomMotA_7,-5.25E+00
17Networks_RH_SomMotA_8,-4.68E+00
17Networks_RH_SomMotA_9,-5.15E+00
17Networks_RH_SomMotA_10,-5.23E+00
17Networks_RH_SomMotA_11,-4.88E+00
17Networks_RH_SomMotB_Aud_1,-3.60E+00
17Networks_RH_SomMotB_Aud_2,-3.19E+00
17Networks_RH_SomMotB_S2_1,-4.46E+00
17Networks_RH_SomMotB_S2_2,-4.44E+00
17Networks_RH_SomMotB_S2_3,-3.87E+00
17Networks_RH_SomMotB_S2_4,-4.57E+00
17Networks_RH_SomMotB_Cent_1,-4.80E+00
17Networks_RH_DorsAttnA_TempOcc_1,-2.50E+00
17Networks_RH_DorsAttnA_ParOcc_1,-2.37E+00
17Networks_RH_DorsAttnA_SPL_1,-2.86E+00
17Networks_RH_DorsAttnA_SPL_2,-6.46E-01
17Networks_RH_DorsAttnA_SPL_3,-2.23E+00
17Networks_RH_DorsAttnA_SPL_4,-3.56E+00
17Networks_RH_DorsAttnB_PostC_1,-4.08E+00
17Networks_RH_DorsAttnB_PostC_2,-4.38E+00
17Networks_RH_DorsAttnB_PostC_3,-2.41E+00
17Networks_RH_DorsAttnB_PostC_4,-4.41E+00
17Networks_RH_DorsAttnB_FEF_1,-2.91E+00
17Networks_RH_SalVentAttnA_ParOper_1,-2.58E+00
17Networks_RH_SalVentAttnA_PrC_1,-1.59E+00
17Networks_RH_SalVentAttnA_Ins_1,-1.97E+00
17Networks_RH_SalVentAttnA_Ins_2,-3.09E+00
17Networks_RH_SalVentAttnA_FrOper_1,-2.56E+00
17Networks_RH_SalVentAttnA_FrMed_1,-2.99E+00
17Networks_RH_SalVentAttnA_ParMed_1,-3.20E+00
17Networks_RH_SalVentAttnA_ParMed_2,-2.22E+00
17Networks_RH_SalVentAttnA_FrMed_2,-2.51E+00
17Networks_RH_SalVentAttnB_IPL_1,2.56E+00
17Networks_RH_SalVentAttnB_PFClv_1,1.64E+00
17Networks_RH_SalVentAttnB_PFCl_1,6.77E-01
17Networks_RH_SalVentAttnB_Ins_1,2.60E+00
17Networks_RH_SalVentAttnB_Ins_2,-6.11E-01
17Networks_RH_SalVentAttnB_PFCmp_1,5.83E-01
17Networks_RH_LimbicB_OFC_1,4.29E+00
17Networks_RH_LimbicB_OFC_2,3.04E+00
17Networks_RH_LimbicB_OFC_3,5.12E+00
17Networks_RH_LimbicB_OFC_4,5.52E+00
17Networks_RH_LimbicA_TempPole_1,2.58E+00
17Networks_RH_LimbicA_TempPole_2,2.10E+00
17Networks_RH_LimbicA_TempPole_3,1.23E+00
17Networks_RH_LimbicA_TempPole_4,-1.55E+00
17Networks_RH_ContA_IPS_1,3.66E+00
17Networks_RH_ContA_IPS_2,4.20E-01
17Networks_RH_ContA_PFCd_1,5.00E-02
17Networks_RH_ContA_PFCl_1,-6.21E-01
17Networks_RH_ContA_PFCl_2,2.45E+00
17Networks_RH_ContA_Cingm_1,9.17E-01
